100nm,200nm,400nm,800nm
0.007177454,0.005474658,0.003380557,0.001800957
0.007152018,0.005460263,0.003374284,0.001798688
0.00712682,0.005445885,0.003368031,0.001796427
0.007101856,0.005431524,0.003361795,0.001794171
0.007077124,0.005417179,0.003355578,0.001791923
0.007052621,0.005402851,0.003349377,0.001789681
0.007028344,0.005388539,0.003343194,0.001787446
0.007004292,0.005374243,0.003337028,0.001785218
0.00698046,0.005359963,0.003330877,0.001782996
0.006956847,0.005345698,0.003324742,0.001780781
0.00693345,0.00533145,0.003318623,0.001778573
0.006910266,0.005317217,0.003312519,0.001776371
0.006887292,0.005303,0.003306429,0.001774175
0.006864526,0.005288799,0.003300353,0.001771987
0.006841965,0.005274614,0.003294291,0.001769804
0.006819607,0.005260445,0.003288243,0.001767628
0.006797447,0.005246293,0.003282207,0.001765459
0.006775485,0.005232157,0.003276185,0.001763296
0.006753717,0.005218038,0.003270175,0.001761139
0.00673214,0.005203936,0.003264178,0.001758988
0.006710752,0.005189851,0.003258192,0.001756844
0.00668955,0.005175784,0.003252218,0.001754706
0.006668531,0.005161735,0.003246255,0.001752575
0.006647693,0.005147705,0.003240303,0.001750449
0.006627032,0.005133694,0.003234363,0.00174833
0.006606547,0.005119702,0.003228433,0.001746217
0.006586234,0.005105729,0.003222513,0.00174411
0.006566092,0.005091777,0.003216603,0.001742009
0.006546116,0.005077846,0.003210703,0.001739914
0.006526305,0.005063935,0.003204813,0.001737825
0.006506656,0.005050047,0.003198933,0.001735742
0.006487166,0.005036181,0.003193062,0.001733665
0.006467833,0.005022338,0.0031872,0.001731594
0.006448654,0.005008518,0.003181347,0.001729528
0.006429626,0.004994722,0.003175503,0.001727468
0.006410748,0.004980951,0.003169668,0.001725414
0.006392015,0.004967206,0.003163841,0.001723366
0.006373426,0.004953486,0.003158023,0.001721323
0.006354979,0.004939793,0.003152213,0.001719286
0.00633667,0.004926127,0.003146412,0.001717255
0.006318498,0.004912489,0.003140619,0.001715229
0.006300459,0.004898879,0.003134833,0.001713208
0.006282552,0.004885299,0.003129056,0.001711193
0.006264773,0.004871749,0.003123287,0.001709183
0.006247121,0.00485823,0.003117526,0.001707179
0.006229592,0.004844741,0.003111772,0.00170518
0.006212186,0.004831285,0.003106027,0.001703186
0.006194898,0.004817862,0.003100289,0.001701197
0.006177728,0.004804472,0.003094559,0.001699213
0.006160672,0.004791116,0.003088836,0.001697235
0.006143729,0.004777795,0.003083122,0.001695261
0.006126895,0.00476451,0.003077415,0.001693292
0.006110169,0.004751261,0.003071716,0.001691329
0.006093549,0.004738049,0.003066024,0.00168937
0.006077033,0.004724874,0.003060341,0.001687416
0.006060617,0.004711738,0.003054665,0.001685467
0.006044301,0.004698641,0.003048997,0.001683523
0.006028081,0.004685584,0.003043337,0.001681583
0.006011957,0.004672568,0.003037685,0.001679648
0.005995925,0.004659592,0.003032041,0.001677717
0.005979984,0.004646659,0.003026405,0.001675791
0.005964132,0.004633768,0.003020777,0.00167387
0.005948366,0.00462092,0.003015158,0.001671953
0.005932685,0.004608116,0.003009547,0.001670041
0.005917088,0.004595356,0.003003944,0.001668132
0.005901571,0.004582642,0.00299835,0.001666228
0.005886134,0.004569973,0.002992764,0.001664329
0.005870774,0.004557351,0.002987187,0.001662433
0.005855489,0.004544776,0.002981618,0.001660542
0.005840278,0.004532248,0.002976059,0.001658655
0.005825139,0.004519769,0.002970509,0.001656772
0.005810071,0.004507338,0.002964968,0.001654893
0.005795071,0.004494957,0.002959436,0.001653018
0.005780139,0.004482626,0.002953913,0.001651147
0.005765272,0.004470345,0.0029484,0.001649279
0.005750468,0.004458115,0.002942897,0.001647416
0.005735727,0.004445936,0.002937403,0.001645556
0.005721047,0.00443381,0.00293192,0.0016437
0.005706427,0.004421736,0.002926446,0.001641848
0.005691864,0.004409715,0.002920983,0.00164
0.005677357,0.004397747,0.00291553,0.001638155
0.005662906,0.004385833,0.002910088,0.001636314
0.005648508,0.004373974,0.002904656,0.001634476
0.005634163,0.004362169,0.002899236,0.001632642
0.00561987,0.00435042,0.002893826,0.001630811
0.005605626,0.004338726,0.002888427,0.001628984
0.005591431,0.004327088,0.00288304,0.00162716
0.005577283,0.004315506,0.002877664,0.001625339
0.005563182,0.004303981,0.0028723,0.001623522
0.005549126,0.004292512,0.002866947,0.001621708
0.005535114,0.004281101,0.002861607,0.001619898
0.005521146,0.004269748,0.002856279,0.00161809
0.005507219,0.004258452,0.002850963,0.001616286
0.005493334,0.004247215,0.002845659,0.001614484
0.00547949,0.004236036,0.002840368,0.001612686
0.005465684,0.004224915,0.00283509,0.001610891
0.005451917,0.004213853,0.002829825,0.001609099
0.005438188,0.00420285,0.002824572,0.00160731
0.005424495,0.004191906,0.002819333,0.001605524
0.005410839,0.004181022,0.002814108,0.001603741
0.005397217,0.004170197,0.002808896,0.001601961
0.005383631,0.004159432,0.002803698,0.001600184
0.005370078,0.004148726,0.002798514,0.001598409
0.005356558,0.004138081,0.002793343,0.001596637
0.005343071,0.004127495,0.002788187,0.001594869
0.005329616,0.004116969,0.002783045,0.001593103
0.005316192,0.004106504,0.002777918,0.001591339
0.005302799,0.004096098,0.002772806,0.001589579
0.005289437,0.004085753,0.002767708,0.001587821
0.005276104,0.004075467,0.002762625,0.001586066
0.005262801,0.004065242,0.002757557,0.001584313
0.005249526,0.004055077,0.002752505,0.001582563
0.005236281,0.004044972,0.002747468,0.001580816
0.005223063,0.004034926,0.002742446,0.001579071
0.005209874,0.004024941,0.00273744,0.001577329
0.005196712,0.004015016,0.002732449,0.00157559
0.005183577,0.00400515,0.002727475,0.001573853
0.00517047,0.003995344,0.002722517,0.001572118
0.005157389,0.003985597,0.002717574,0.001570387
0.005144335,0.00397591,0.002712648,0.001568657
0.005131307,0.003966282,0.002707738,0.00156693
0.005118305,0.003956713,0.002702845,0.001565206
0.005105329,0.003947203,0.002697968,0.001563484
0.00509238,0.003937751,0.002693108,0.001561764
0.005079456,0.003928358,0.002688265,0.001560047
